date,close,open,high,low,volume
2024-08-30,227.93917846679688,229.12366833084764,229.3326870197365,226.42621547495943,52990800
2024-09-03,221.738037109375,227.4912604304481,227.9391727978887,220.1454429272487,50190600
2024-09-04,219.8269195556641,220.6331648046219,220.75260404502964,216.47252073588623,43840200
2024-09-05,221.34983825683597,220.60331260233696,224.43546851590304,220.49382156548631,36615400
2024-09-06,219.7970733642578,222.9125635200513,224.1965961864048,218.75193438162452,48423000
2024-09-09,219.8866424560547,219.79706302441252,220.24497537072617,215.7061019102892,67180000
2024-09-10,219.09034729003903,217.905857501112,220.45399594379384,215.72600018375596,51591000
2024-09-11,221.62852478027344,220.4340868524661,222.056525502596,216.88061769002928,44587100
2024-09-12,221.738037109375,221.46928361366915,222.51442259643304,218.8017058249269,37455600
2024-09-13,221.4692840576172,222.54428285449177,223.00214343080088,220.8820208371711,36766600
2024-09-16,215.3179168701172,215.5368837592455,216.21374159471785,212.9290256243428,59357400
2024-09-17,215.7857208251953,214.75054527350213,215.8952118613641,213.5063358570856,45519300
2024-09-18,219.66766357421875,216.54221012404864,221.67831024616868,216.5322467283196,59894900
2024-09-19,227.80975341796875,223.94773787040657,228.75536468744528,223.58940496515828,66781300
2024-09-20,227.1428680419922,228.90467282845125,232.01021467188832,226.5655530501552,318679900
2024-09-23,225.4208831787109,226.2868480598011,228.38707413181643,224.7639369712135,54146000
2024-09-24,226.31671142578125,227.59078065470555,228.28755007923567,224.6843092769655,43556100
2024-09-25,225.32135009765625,223.88801837861104,226.2370864319121,222.98224544035924,42308700
2024-09-26,226.46600341796875,226.24702136687824,227.4414592531255,224.3657775193108,36636700
2024-09-27,226.73475646972656,227.40166606122023,228.45675318264773,226.24703611440785,34026000
2024-09-30,231.920654296875,228.9743594736852,231.920654296875,228.58616671135624,54541900
2024-10-01,225.162109375,228.45677367012016,228.5861611290004,222.70355021092283,63285000
2024-10-02,225.72946166992188,224.84358511910924,226.31672490502265,221.98688498556476,32880600
2024-10-03,224.6245880126953,224.09704443839323,225.759306386038,222.28548343692836,34044200
2024-10-04,225.74935913085935,226.8442543024003,226.9437971307691,223.09172964492672,37245100
