,Ticket,Open,Close,High,Low,Volume
count,242.0,242.0,242.0,242.0,242.0,242.0
mean,600000.0,6.282396694214876,6.276900826446281,6.329132231404959,6.232314049586776,279474.19834710745
std,0.0,0.21304558876820417,0.2129478499640074,0.22390459742791577,0.2009056686248735,157317.38864574805
min,600000.0,5.79,5.8,5.86,5.76,108960.0
25%,600000.0,6.16,6.1525,6.2,6.12,190022.5
50%,600000.0,6.26,6.26,6.3,6.22,245498.0
75%,600000.0,6.38,6.37,6.4275,6.33,311875.75
max,600000.0,7.09,7.02,7.17,6.89,1431179.0
